ID_PARADER;Latitud;Longitud;Pasajeros;ES_COLAB
53055;6.280399;-75.571344;0.0;1
53113;6.277484;-75.570511;0.0;1
52882;6.273079;-75.573516;0.0;1
52853;6.271107;-75.57398;0.0;1
52815;6.268163;-75.574642;0.0;1
52760;6.265649;-75.575241;27.0;0
55241;6.279783;-75.571493;0.0;1
52037;6.215715;-75.587914;225.0;0
52060;6.217323;-75.587811;0.0;1
52205;6.216205;-75.584601;0.0;1
52424;6.214347;-75.580944;0.0;1
52649;6.213668;-75.576803;11.0;0
52652;6.218439;-75.576756;0.0;1
52690;6.22404;-75.575993;0.0;1
52742;6.229276;-75.575288;0.0;1
52773;6.231317;-75.575005;0.0;1
52743;6.235004;-75.575304;0.0;1
52534;6.249942;-75.578884;1.0;0
52632;6.253095;-75.577201;0.0;1
52522;6.255283;-75.579211;336.0;0
52446;6.257121;-75.580562;1.0;0
52468;6.258297;-75.580191;0.0;1
52498;6.261942;-75.579702;0.0;1
52596;6.26495;-75.577818;0.0;1
52824;6.267569;-75.574484;0.0;1
52873;6.271377;-75.573619;24.0;0
52902;6.273126;-75.573243;12.0;0
55241;6.279783;-75.571493;0.0;1
53055;6.280399;-75.571344;0.0;1
53134;6.278658;-75.57024;340.0;0
52882;6.273079;-75.573516;0.0;1
52853;6.271107;-75.57398;0.0;1
52767;6.265576;-75.575262;11.0;0
52753;6.263695;-75.575303;0.0;1
52698;6.257686;-75.576008;0.0;1
52647;6.255973;-75.57695;0.0;1
52543;6.252752;-75.578752;0.0;1
52423;6.248989;-75.581109;0.0;1
52501;6.244068;-75.579603;0.0;1
52581;6.240027;-75.578151;0.0;1
52483;6.233067;-75.579887;0.0;1
52313;6.231336;-75.582881;5.0;0
52263;6.227019;-75.583506;44.0;0
52221;6.223329;-75.584381;0.0;1
52144;6.217902;-75.585951;2.0;0
52128;6.215957;-75.586456;0.0;1
52784;6.265626;-75.574976;0.0;1
52753;6.263695;-75.575303;0.0;1
52684;6.253761;-75.576181;1200.0;0
52521;6.254948;-75.579218;23.0;0
52791;6.264165;-75.574912;20.0;0
