ID_PARADER;Latitud;Longitud;Pasajeros;ES_COLAB
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
51572;6.264015;-75.598775;126.0;0
51551;6.263656;-75.59924;0.0;1
51571;6.26377;-75.59878;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
51571;6.26377;-75.59878;0.0;1
51777;6.262446;-75.594953;0.0;1
51991;6.260047;-75.589892;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52352;6.256823;-75.58248;108.0;0
52129;6.258764;-75.586545;28.0;0
51980;6.260409;-75.590028;70.0;0
51779;6.262646;-75.594897;196.0;0
51572;6.264015;-75.598775;126.0;0
51571;6.26377;-75.59878;0.0;1
51777;6.262446;-75.594953;0.0;1
51991;6.260047;-75.589892;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52129;6.258764;-75.586545;28.0;0
51980;6.260409;-75.590028;70.0;0
51779;6.262646;-75.594897;196.0;0
51572;6.264015;-75.598775;126.0;0
51777;6.262446;-75.594953;0.0;1
51926;6.26062;-75.591226;0.0;1
51954;6.260707;-75.590733;225.0;0
51779;6.262646;-75.594897;196.0;0
51926;6.26062;-75.591226;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
52346;6.256782;-75.582394;135.0;0
52157;6.258385;-75.58577;48.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
51779;6.262646;-75.594897;196.0;0
51638;6.263694;-75.597436;1.0;0
51524;6.26397;-75.599652;0.0;1
51614;6.263578;-75.597928;6.0;0
51777;6.262446;-75.594953;0.0;1
51824;6.261435;-75.592812;0.0;1
51997;6.26;-75.589792;0.0;1
52106;6.258679;-75.587104;0.0;1
51524;6.26397;-75.599652;0.0;1
51614;6.263578;-75.597928;6.0;0
51777;6.262446;-75.594953;0.0;1
51824;6.261435;-75.592812;0.0;1
51997;6.26;-75.589792;0.0;1
52106;6.258679;-75.587104;0.0;1
52522;6.255283;-75.579211;336.0;0
52414;6.256304;-75.581314;13.0;0
51991;6.260047;-75.589892;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52425;6.255775;-75.580943;0.0;1
52521;6.254948;-75.579218;23.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52346;6.256782;-75.582394;135.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
51709;6.263029;-75.596233;0.0;1
51824;6.261435;-75.592812;0.0;1
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52190;6.258008;-75.584974;8.0;0
52021;6.25982;-75.588753;2.0;0
51828;6.261831;-75.593089;7.0;0
51715;6.263258;-75.596075;1.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52346;6.256782;-75.582394;135.0;0
52352;6.256823;-75.58248;108.0;0
52352;6.256823;-75.58248;108.0;0
51777;6.262446;-75.594953;0.0;1
51991;6.260047;-75.589892;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52521;6.254948;-75.579218;23.0;0
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52129;6.258764;-75.586545;28.0;0
51980;6.260409;-75.590028;70.0;0
51779;6.262646;-75.594897;196.0;0
51744;6.262566;-75.595303;0.0;1
51824;6.261435;-75.592812;0.0;1
51943;6.260501;-75.590974;0.0;1
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52234;6.257601;-75.584112;90.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
51752;6.26283;-75.595187;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
51744;6.262566;-75.595303;0.0;1
51824;6.261435;-75.592812;0.0;1
51943;6.260501;-75.590974;0.0;1
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52234;6.257601;-75.584112;90.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
51752;6.26283;-75.595187;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
51744;6.262566;-75.595303;0.0;1
51824;6.261435;-75.592812;0.0;1
51943;6.260501;-75.590974;0.0;1
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52234;6.257601;-75.584112;90.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
51752;6.26283;-75.595187;0.0;1
51744;6.262566;-75.595303;0.0;1
51824;6.261435;-75.592812;0.0;1
51943;6.260501;-75.590974;0.0;1
52058;6.259086;-75.587973;0.0;1
52154;6.258034;-75.585609;0.0;1
52342;6.256539;-75.582546;0.0;1
52476;6.255344;-75.580061;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
52234;6.257601;-75.584112;90.0;0
52093;6.259184;-75.587393;16.0;0
51954;6.260707;-75.590733;225.0;0
51752;6.26283;-75.595187;0.0;1
52522;6.255283;-75.579211;336.0;0
52352;6.256823;-75.58248;108.0;0
