ID_PARADER;Latitud;Longitud;Pasajeros;ES_COLAB
53347;6.24651;-75.566823;663.0;0
53628;6.253027;-75.562751;707.0;0
53173;6.241478;-75.569678;1.0;0
53202;6.241414;-75.569347;5.0;0
53456;6.248719;-75.565206;1424.0;0
53376;6.246486;-75.566443;840.0;0
53524;6.24969;-75.564303;1410.0;0
53650;6.2529;-75.562436;140.0;0
53601;6.255447;-75.563262;300.0;0
53601;6.255447;-75.563262;300.0;0
53144;6.240557;-75.570057;3.0;0
53498;6.249783;-75.564605;280.0;0
53306;6.245764;-75.567367;2400.0;0
53238;6.243568;-75.568497;621.0;0
53310;6.245181;-75.56741;3760.0;0
53532;6.249925;-75.564166;1362.0;0
53650;6.2529;-75.562436;140.0;0
52843;6.197973;-75.574018;0.0;1
52942;6.200746;-75.572477;0.0;1
53038;6.206561;-75.571395;0.0;1
53081;6.209418;-75.570686;0.0;1
53077;6.210142;-75.570751;0.0;1
53016;6.206702;-75.571639;1.0;0
52997;6.203049;-75.571919;0.0;1
52917;6.200571;-75.572918;0.0;1
52840;6.198537;-75.574054;3.0;0
53510;6.249094;-75.564517;41.0;0
53598;6.255084;-75.563301;165.0;0
53200;6.241004;-75.56935;2.0;0
53116;6.239796;-75.570351;6.0;0
53117;6.234769;-75.570329;456.0;0
53130;6.232094;-75.570134;24.0;0
53598;6.255084;-75.563301;165.0;0
53200;6.241004;-75.56935;2.0;0
53116;6.239796;-75.570351;6.0;0
53117;6.234769;-75.570329;456.0;0
53130;6.232094;-75.570134;24.0;0
53117;6.234769;-75.570329;456.0;0
53595;6.255397;-75.563179;755.0;0
53117;6.234769;-75.570329;456.0;0
53595;6.255397;-75.563179;755.0;0
53418;6.247875;-75.565819;77.0;0
53425;6.248061;-75.56568;6183.0;0
53306;6.245764;-75.567367;2400.0;0
53598;6.255084;-75.563301;165.0;0
53598;6.255084;-75.563301;165.0;0
53238;6.243568;-75.568497;621.0;0
53279;6.244644;-75.567812;42.0;0
53446;6.24791;-75.565372;9344.0;0
53573;6.250841;-75.563629;64.0;0
53595;6.255397;-75.563179;755.0;0
53598;6.255084;-75.563301;165.0;0
53549;6.251024;-75.56392;70.0;0
53425;6.248061;-75.56568;6183.0;0
53260;6.244681;-75.568196;6.0;0
53598;6.255084;-75.563301;165.0;0
53549;6.251024;-75.56392;70.0;0
53425;6.248061;-75.56568;6183.0;0
53260;6.244681;-75.568196;6.0;0
53598;6.255084;-75.563301;165.0;0
53238;6.243568;-75.568497;621.0;0
53279;6.244644;-75.567812;42.0;0
53446;6.24791;-75.565372;9344.0;0
53573;6.250841;-75.563629;64.0;0
